Text File,Question,Answer
www.iiitd.ac.in_.txt,"What is the apex body of IIIT-Delhi, and who chairs it?  ","The General Council is the apex body of IIIT-Delhi, and it is chaired by the Hon'ble Lt. Governor of Delhi."
www.iiitd.ac.in_.txt,Name two Centres of Excellence at IIIT-Delhi.,Two Centres of Excellence at IIIT-Delhi are the Centre for Quantum Technologies and the Centre of Excellence in Healthcare.
www.iiitd.ac.in_academics_btech_btp.txt,What are the requirements for a student to start a B.Tech. Project (BTP) at IIIT-Delhi?,"A B.Tech. Project at IIIT-Delhi can be started any time after the 2nd year, must span at least over 2 regular consecutive semesters (Monsoon and Winter), and can span at most 3 consecutive semesters. It can be done for a total of 8 to 12 credits, with at most 8 credits taken in one semester. There is no CGPA requirement for doing a BTP, and not more than 1 BTP can be done during the entire B.Tech. tenure. The BTP must be supervised by one or more faculty members who should be regular or visiting faculty of the institute, and guided only by faculty members with Ph.D. Degrees."
www.iiitd.ac.in_academics_btech_btp.txt,How is the B.Tech. Project (BTP) evaluated and what is the process for final presentation at IIIT-Delhi?,"Each semester, students must register for a BTP course with the respective number of credits and have it approved by their advisor. The BTP advisors constitute the BTP evaluation committee at the beginning of the semester. At the end of the semester, students must submit their BTP thesis/report, which will be evaluated by a committee of three faculty members, including one or two advisors and two committee members who assign the final grade. Additionally, students must present their BTP in poster format to the advisor and evaluation committee members. Extensions for report submission may be granted if further work is needed for publication quality. A single BTP presentation is given a maximum of half an hour, while a joint BTP may be given a maximum of one hour, with both students required to present their work."
www.iiitd.ac.in_academics_btech_honors.txt,What are the requirements for a student to enroll in the Honors Program at IIIT-Delhi?,"To enroll in the Honors Program at IIIT-Delhi, a student must complete an additional 12 discipline credits beyond the standard program requirements, undertake a B.Tech. Project, and have a CGPA of 8.0 or more at the time of graduation. "
www.iiitd.ac.in_academics_btech_honors.txt,How is the Honors Program at IIIT-Delhi designed to cater to students?,"The Honors Program at IIIT-Delhi is designed to challenge brighter and more ambitious students by offering them an opportunity to pursue additional discipline credits and a B.Tech. Project, without burdening an average student."
www.iiitd.ac.in_careers_faculty.txt,"What are the eligibility criteria for tenure-track faculty positions at IIIT-Delhi, specifically for the Assistant Professor level?","For an Assistant Professor position at IIIT-Delhi, a candidate must have a PhD plus three years of experience. However, for PhDs from well-known universities or institutes (e.g., IITs, IISc, TIFR, ISI, or well-known research universities across the world), and with a good research/academic record, the three years experience requirement may be waived."
www.iiitd.ac.in_careers_faculty.txt,What benefits are provided to regular faculty at IIIT-Delhi?,"Regular faculty at IIIT-Delhi are provided with benefits including on-campus or leased accommodation, an initiation research grant, travel support, professional development fund, health insurance, LTC, contributions to a pension plan, and potentially extra personal pay. The pay scale for faculty is the same as in IITs."
www.iiitd.ac.in_facilities_dining.txt,What dining options are available at IIIT-Delhi and during what hours do they operate? ,"IIIT-Delhi offers several dining options including Brew Bakes, DOSA Inc., and a Mother Diary outlet. Brew Bakes, located at the ground floor of the old academic building, operates from 8.00 a.m to 8.00 p.m from Monday to Saturday, offering coffee, sandwiches, pizza, burgers, etc. DOSA Inc., located on the second floor of the student center building, specializes in various types of dosas, uttapams, and idlis. The Mother Diary outlet is situated at the ground floor of the Student Centre, providing milk and milk products, and operates from Monday to Saturday from 7.00 AM to 8.00 PM."
www.iiitd.ac.in_facilities_dining.txt,What are the mess timings at IIIT-Delhi?,"The mess services at IIIT-Delhi are available at the first and second floor of the student center, operating at the following times: Breakfast from 7.30 AM to 10.00 AM, Lunch from 12.30 PM to 2.30 PM, Evening snacks from 5.00 PM to 6.00 PM, and Dinner from 8.00 PM to 9.30 PM."
www.iiitd.ac.in_facilities_guesthouse.txt,What types of guest house accommodations are available at IIIT-Delhi and what are their rates including GST?,"IIIT-Delhi offers two types of guest house accommodations: Suite Rooms and Deluxe Rooms. There are 2 Suite Rooms available at a rate of Rs. 3200 plus 18% GST, and 14 Deluxe Rooms available at a rate of Rs. 2000 plus 18% GST. Additionally, extra bedding can be provided at a charge of Rs. 200 plus 18% GST."
www.iiitd.ac.in_facilities_guesthouse.txt,What are the meal rates at the IIIT-Delhi guest house?,"The meal rates at the IIIT-Delhi guest house are as follows: Breakfast at Rs. 100, Lunch at Rs. 150, and Dinner at Rs. 150."
