Question,Text_File,Retrieved_document_1,Retrieved_document_2,Retrieved_document_3
"What is the apex body of IIIT-Delhi, and who chairs it?  ",www.iiitd.ac.in_.txt,www.iiitd.ac.in_.txt,www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_careers_faculty.txt
Name two Centres of Excellence at IIIT-Delhi.,www.iiitd.ac.in_.txt,www.iiitd.ac.in_.txt,www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_facilities_medical.txt
What are the requirements for a student to start a B.Tech. Project (BTP) at IIIT-Delhi?,www.iiitd.ac.in_academics_btech_btp.txt,www.iiitd.ac.in_academics_btech_btp.txt,www.iiitd.ac.in_academics_btech_btp.txt,www.iiitd.ac.in_academics_btech_honors.txt
How is the B.Tech. Project (BTP) evaluated and what is the process for final presentation at IIIT-Delhi?,www.iiitd.ac.in_academics_btech_btp.txt,www.iiitd.ac.in_academics_btech_btp.txt,www.iiitd.ac.in_academics_btech_btp.txt,www.iiitd.ac.in_academics_btech_honors.txt
What are the requirements for a student to enroll in the Honors Program at IIIT-Delhi?,www.iiitd.ac.in_academics_btech_honors.txt,www.iiitd.ac.in_academics_btech_honors.txt,www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_.txt
How is the Honors Program at IIIT-Delhi designed to cater to students?,www.iiitd.ac.in_academics_btech_honors.txt,www.iiitd.ac.in_academics_btech_honors.txt,www.iiitd.ac.in_.txt,www.iiitd.ac.in_careers_faculty.txt
"What are the eligibility criteria for tenure-track faculty positions at IIIT-Delhi, specifically for the Assistant Professor level?",www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_careers_faculty.txt
What benefits are provided to regular faculty at IIIT-Delhi?,www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_.txt,www.iiitd.ac.in_careers_faculty.txt
What dining options are available at IIIT-Delhi and during what hours do they operate? ,www.iiitd.ac.in_facilities_dining.txt,www.iiitd.ac.in_facilities_dining.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_sa.txt
What are the mess timings at IIIT-Delhi?,www.iiitd.ac.in_facilities_dining.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_facilities_dining.txt,www.iiitd.ac.in_facilities_medical.txt
What types of guest house accommodations are available at IIIT-Delhi and what are their rates including GST?,www.iiitd.ac.in_facilities_guesthouse.txt,www.iiitd.ac.in_facilities_guesthouse.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_sa.txt
What are the meal rates at the IIIT-Delhi guest house?,www.iiitd.ac.in_facilities_guesthouse.txt,www.iiitd.ac.in_facilities_guesthouse.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_facilities_dining.txt
What are the medical facilities available at IIIT-Delhi's Health Centre and their availability?,www.iiitd.ac.in_facilities_medical.txt,www.iiitd.ac.in_facilities_medical.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_sa.txt
How can one contact the IIIT-Delhi Health Centre in case of an emergency?,www.iiitd.ac.in_facilities_medical.txt,www.iiitd.ac.in_facilities_medical.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_sa.txt
What types of accommodations and facilities are available in IIIT-Delhi hostels?,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_facilities_guesthouse.txt,www.iiitd.ac.in_sa.txt
How does IIIT-Delhi ensure the wellbeing and security of its hostel residents?,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_facilities_medical.txt
What is the process for companies to participate in the campus placement process at IIIT-Delhi?,www.iiitd.ac.in_placement_procedure.txt,www.iiitd.ac.in_placement_procedure.txt,www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_careers_faculty.txt
What are the policies regarding job offers and student eligibility for campus placements at IIIT-Delhi?,www.iiitd.ac.in_placement_procedure.txt,www.iiitd.ac.in_placement_procedure.txt,www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_careers_faculty.txt
"What are the main objectives behind the establishment of IIIT-Delhi, and where is its permanent campus located?",www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_.txt,www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_life_hostels.txt
What facilities and committees are available to IIIT-Delhi students for extracurricular activities and their overall well-being?,www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_facilities_medical.txt
