Question,Text_File,Retrieved_document_1,Retrieved_document_2,Retrieved_document_3,Precision @ 1,Precision @ 2,Precision @ 3,,,K,Avg Precision @ K,Avg Recall @k,Avg F1 @ K
What is the punishment for a public servant unlawfully buying or bidding for property under Section 169 of the IPC?,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,100,50,33.33,,,1,93.61702128,,
"Can a public servant legally bid for property they are bound not to, under Section 169 of the IPC?",www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,100,50,33.33,,,2,68.08510638,,68.08510638
"Under Section 169 of the IPC, what are the legal implications for a public servant unlawfully purchasing or bidding for property, and how is the offense processed through the legal system?",www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,100,50,33.33,,,3,52.4806383,,
"How does Section 167 of the IPC ensure accountability among public servants regarding the accuracy of documents or electronic records they prepare or translate, and what are the legal consequences of a violation?",www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,100,50,33.33,,,,,,
What are the implications of a public servant's action being classified as cognizable under Section 167 of the IPC?,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,0,0,33.33,,,MAP,,,
"Considering the legal framework established under Section 167 of the IPC for public servants framing incorrect documents with intent to cause injury, how does this provision impact the trust and reliability of public administration?",www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,100,50,33.33,,,,,,
What are the consequences for a public servant under IPC Section 166A for failing to record information on cognizable offences?,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,100,50,33.33,,,,,,
"How does Section 166A of the IPC address the responsibility of public servants in the recording of information related to certain specified cognizable offences, and what are the implications for non-compliance?",www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,100,50,33.33,,,,,,
"Considering the range of offences under which a public servant is required to record information according to IPC Section 166A, what does this indicate about the priorities of the legal system, and how does this affect the handling of such cases?",www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-166a-punishment-for-non-recording-of-information-_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-167-public-servant-farming-an-incorrect-document-with-intent-to-cause-injury_ copy.txt,www.latestlaws.com_bare-acts_central-acts-rules_ipc-section-169-public-servant-unlawfully-buying-or-bidding-for-property_ copy.txt,100,50,33.33,,,,,,
"What is the apex body of IIIT-Delhi, and who chairs it?  ",www.iiitd.ac.in_.txt,www.iiitd.ac.in_ copy.txt,www.iiitd.ac.in_sa copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,100,50,33.33,,,,,,
