Question,Text_File,Retrieved_document_1,Retrieved_document_2,Retrieved_document_3
"What is the significance of the Taj Mahal's construction, and who was it built by?",www.tajmahal.gov.in_about-agra.aspx.txt,www.tajmahal.gov.in_creation-history-of-taj-mahal.aspx.txt,www.tajmahal.gov.in_nearby-attractions.aspx.txt,www.tajmahal.gov.in_nearby-attractions.aspx.txt
"What is the Agra Fort known for, and which Mughal emperors were involved in its construction and transformation?",www.tajmahal.gov.in_about-agra.aspx.txt,www.tajmahal.gov.in_about-agra.aspx.txt,www.tajmahal.gov.in_about-agra.aspx.txt,www.tajmahal.gov.in_about-agra.aspx.txt
"What were the circumstances of Empress Mumtaz Mahal's death, and how did Emperor Shah Jahan respond to her passing?",www.tajmahal.gov.in_about-mumtaz-mahal.aspx.txt,www.tajmahal.gov.in_about-mumtaz-mahal.aspx.txt,www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_nearby-attractions.aspx.txt
"How was Mumtaz Mahal's fortune distributed after her death, and what monumental project did Shah Jahan undertake in her memory?",www.tajmahal.gov.in_about-mumtaz-mahal.aspx.txt,www.tajmahal.gov.in_about-mumtaz-mahal.aspx.txt,www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_nearby-attractions.aspx.txt
"What architectural styles and techniques were integrated into the design of the Taj Mahal, and how did these influences manifest in its construction?",www.tajmahal.gov.in_creation-history-of-taj-mahal.aspx.txt,www.tajmahal.gov.in_creation-history-of-taj-mahal.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt
"Who were some of the key figures involved in the construction of the Taj Mahal, and what were their contributions?",www.tajmahal.gov.in_creation-history-of-taj-mahal.aspx.txt,www.tajmahal.gov.in_creation-history-of-taj-mahal.aspx.txt,www.tajmahal.gov.in_nearby-attractions.aspx.txt,www.tajmahal.gov.in_the-taj-interiors.aspx.txt
"What is the Light and Sound Show at the Taj Mahal, and what does it offer to visitors?",www.tajmahal.gov.in_light-and-sound-show.aspx.txt,www.tajmahal.gov.in_light-and-sound-show.aspx.txt,www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_visiting-hours.aspx.txt
"When are the Light and Sound Show timings, and what are the ticket rates?",www.tajmahal.gov.in_light-and-sound-show.aspx.txt,www.tajmahal.gov.in_light-and-sound-show.aspx.txt,www.tajmahal.gov.in_visiting-hours.aspx.txt,www.tajmahal.gov.in_night-view.aspx.txt
What are some of the key historical and architectural sites to visit near the Taj Mahal in Agra?,www.tajmahal.gov.in_nearby-attractions.aspx.txt,www.tajmahal.gov.in_about-agra.aspx.txt,www.tajmahal.gov.in_nearby-attractions.aspx.txt,www.tajmahal.gov.in_about-agra.aspx.txt
What unique experiences and festivals can visitors enjoy in Agra besides exploring its architectural heritage?,www.tajmahal.gov.in_nearby-attractions.aspx.txt,www.tajmahal.gov.in_nearby-attractions.aspx.txt,www.tajmahal.gov.in_about-agra.aspx.txt,www.tajmahal.gov.in_about-agra.aspx.txt
"How can visitors experience the Taj Mahal at night, and what makes this experience unique?",www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_light-and-sound-show.aspx.txt,www.tajmahal.gov.in_visiting-hours.aspx.txt
What are the requirements and ticket prices for the Taj Mahal's night viewing?,www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_visiting-hours.aspx.txt,www.tajmahal.gov.in_light-and-sound-show.aspx.txt
"What are the key features of the Taj Mahal's exterior decoration, and how do they reflect the architectural synthesis of the monument?",www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_creation-history-of-taj-mahal.aspx.txt
How do the minarets and the main finial contribute to the overall symbolism and aesthetic of the Taj Mahal?,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt
"What are the key features and elements of the interior decoration within the Taj Mahal, and how do they contribute to the monument's overall ambiance?",www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt
How does the design of the cenotaphs within the Taj Mahal reflect the monument's symbolic representation of eternal love and the afterlife?,www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_the-taj-interiors.aspx.txt
"What are the visiting hours for the Taj Mahal, and are there any specific days when it is closed to the public?",www.tajmahal.gov.in_visiting-hours.aspx.txt,www.tajmahal.gov.in_visiting-hours.aspx.txt,www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_light-and-sound-show.aspx.txt
"What are the ticket prices for visiting the Taj Mahal, and are there any discounts available for online purchases?",www.tajmahal.gov.in_visiting-hours.aspx.txt,www.tajmahal.gov.in_visiting-hours.aspx.txt,www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_light-and-sound-show.aspx.txt
